state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
GA,Georgia,2021,10.61,599964,2.9571045576407506,0,0,0,0.0,,0.0,10625615.0,65030.0,37.1,0.8503788155559561,0.13424305322562505,0.005343314245810713,11.082603980863198,16.178778153452576
GA,Georgia,2022,12.1,607578,3.797587131367292,0,0,0,0.0,,0.0,10722325.0,71355.0,37.2,0.8313737988692023,0.13659248343992558,0.0054046114065746005,11.175422697534492,16.18783857441928
HI,Hawaii,2018,29.9,59661,4.120643431635388,750,60,810,56.96086366733731,0.07407407407407407,1.9050456076032545,1422029.0,78084.0,38.9,0.8095691688992728,0.14912002497839355,0.007226294259821705,11.265540449282984,14.167595282948906
HI,Hawaii,2019,29.23,59878,4.18230563002681,891,60,951,66.87321653842854,0.06309148264984227,2.287828140213087,1422094.0,81275.0,39.1,0.8142881464141307,0.1517318827025499,0.00735605381922714,11.305593745172105,14.167640991239308
HI,Hawaii,2020,28.41,59734,3.557640750670241,1038,60,1098,77.31991431432446,0.0546448087431694,2.721573893499629,1420074.0,83173.0,39.4,0.8101066822826658,0.15399127087743314,0.007805931240202975,11.328678054910771,14.166219540895682
HI,Hawaii,2021,30.88,59935,4.642091152815014,1326,60,1386,95.35616836074078,0.04329004329004329,3.0879588199721755,1453498.0,88005.0,39.6,0.8070265190325111,0.15576148023595493,0.00776196458474659,11.38514891002807,14.189483622991128
HI,Hawaii,2022,40.18,60136,6.184986595174263,1326,60,1386,95.54739488580155,0.04329004329004329,2.37798394439526,1450589.0,94814.0,39.9,0.8034757080882186,0.15665567572896252,0.008016054168341273,11.45967235666449,14.187480238813622
IA,Iowa,2018,9.68,239703,2.8605898123324396,330,180,510,16.280930975556576,0.35294117647058826,1.6819143569789852,3132499.0,58580.0,38.1,0.8947185920793093,0.12635917840676086,0.0061813267937196464,10.978148620381724,14.95734164651847
IA,Iowa,2019,9.99,241734,2.7265415549597853,441,198,639,20.353507619665248,0.30985915492957744,2.0373881501166413,3139508.0,60523.0,38.2,0.8941619910767947,0.12861919765772217,0.0062245421894131184,11.010778737063674,14.959576657709516
IA,Iowa,2020,9.96,243762,2.237265415549598,606,330,936,29.71418195047573,0.3525641025641026,2.9833516014533865,3150011.0,61836.0,38.3,0.8827340768865986,0.13176080972415652,0.0059422014716774005,11.032240998116224,14.96291650285921
IA,Iowa,2021,10.17,246568,3.1608579088471846,906,486,1392,43.78611489451384,0.34913793103448276,4.305419360325844,3179090.0,65429.0,38.3,0.8684031108588763,0.13332494518871751,0.0057890780065993725,11.088720864237898,14.972105550281753
